InChIKey,C18-6min-RT (Sec),IsomericSMILES,C18_RP_12min_Predicted_RT(min),Predicted_RT(sec)
HKQYGTCOTHHOMP-UHFFFAOYSA-N,221.4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,5.2279615,313.6777
HVQAJTFOCKOKIN-UHFFFAOYSA-N,249.6,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,5.567279,334.03674
MYXNWGACZJSMBT-VJXVFPJBSA-N,176.4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,5.080462,304.82773
JUVIOZPCNVVQFO-HBGVWJBISA-N,240.0,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,6.2770452,376.6227
AYMYWHCQALZEGT-ORCRQEGFSA-N,208.8,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O,4.5719833,274.319
PEFASEPMJYRQBW-HKWQTAEVSA-N,168.6,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)O)O)O)C6=CC=C(C=C6)O)O)O)O)O)O)O,5.1303983,307.82388
ZZIALNLLNHEQPJ-UHFFFAOYSA-N,216.0,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,5.519227,331.15363
HUKSJTUUSUGIDC-ZBEGNZNMSA-N,222.0,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,4.4935327,269.61197
KQMVAGISDHMXJJ-UHFFFAOYSA-N,231.6,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,5.224069,313.44415
LCAWNFIFMLXZPQ-UHFFFAOYSA-N,199.8,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O,5.2334404,314.0064
SOSLMHZOJATCCP-AEIZVZFYSA-N,195.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,4.981494,298.88965
VXIXUWQIVKSKSA-UHFFFAOYSA-N,196.2,C1=CC=C2C(=C1)C(=CC(=O)O2)O,4.874201,292.45206
PADQINQHPQKXNL-LSDHHAIUSA-N,189.0,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,5.1159134,306.9548
LUJAXSNNYBCFEE-UHFFFAOYSA-N,226.8,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O,5.158881,309.53287
ZONYXWQDUYMKFB-UHFFFAOYSA-N,233.4,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,6.1279125,367.67474
